iter	Passed	Remaining
761	1751	546
762	1752	544
763	1754	541
764	1755	539
765	1756	536
766	1759	534
767	1761	532
768	1763	529
769	1764	527
770	1765	524
771	1767	521
772	1768	519
773	1770	516
774	1773	514
775	1775	512
776	1776	509
777	1777	507
778	1778	504
779	1780	502
780	1781	499
781	1783	497
782	1784	494
783	1787	492
784	1789	489
785	1790	487
786	1791	484
787	1793	482
788	1794	479
789	1795	477
790	1797	474
791	1798	472
792	1800	469
793	1803	467
794	1804	465
795	1805	462
796	1807	460
797	1808	457
798	1809	455
799	1811	452
800	1812	450
801	1814	447
802	1817	445
803	1819	443
804	1820	441
805	1822	438
806	1823	436
807	1825	433
808	1826	431
809	1828	428
810	1829	426
811	1832	424
812	1834	421
813	1835	419
814	1837	417
815	1839	414
816	1840	412
817	1841	409
818	1843	407
819	1846	405
820	1848	403
821	1850	400
822	1852	398
823	1853	395
824	1855	393
825	1856	391
826	1858	388
827	1859	386
828	1862	384
829	1863	381
830	1864	379
831	1866	376
832	1867	374
833	1868	371
834	1869	369
835	1870	367
836	1872	364
837	1873	362
838	1875	359
839	1877	357
840	1878	355
841	1879	352
842	1880	350
843	1881	347
844	1883	345
845	1884	343
846	1885	340
847	1886	338
848	1887	335
849	1890	333
850	1892	331
851	1893	328
852	1895	326
853	1896	324
854	1898	321
855	1899	319
856	1900	317
857	1901	314
858	1902	312
859	1905	310
860	1907	307
861	1908	305
862	1909	303
863	1911	300
864	1912	298
865	1913	296
866	1914	293
867	1915	291
868	1916	288
869	1918	286
870	1921	284
871	1922	282
872	1924	279
873	1925	277
874	1926	275
875	1927	272
876	1929	270
877	1930	268
878	1931	265
879	1935	263
880	1938	261
881	1942	259
882	1944	257
883	1946	255
884	1947	253
885	1948	250
886	1951	248
887	1953	246
888	1954	244
889	1955	241
890	1956	239
891	1957	237
892	1959	234
893	1960	232
894	1961	230
895	1962	227
896	1966	225
897	1968	223
898	1969	221
899	1971	219
900	1972	216
901	1973	214
902	1974	212
903	1975	209
904	1977	207
905	1978	205
906	1980	203
907	1982	200
908	1983	198
909	1985	196
910	1986	194
